epoch,train_loss,train_loss_cls,train_loss_iou,train_loss_dfl,train_loss_pose_cls,train_loss_pose_reg,val_loss,val_loss_cls,val_loss_iou,val_loss_dfl,val_loss_pose_cls,val_loss_pose_reg,ap,ar,ap_0.50,ap_0.75,ar_0.50,ar_0.75
34,3.2663,0.2331,0.3437,0.0135,0.0009,2.6751,2.4958,0.2319,0.2949,0.0129,0.001,1.9551,0.2833,0.508,0.315,0.5455,0.2878,0.5135
35,3.2216,0.232,0.3434,0.0135,0.0008,2.6319,2.5067,0.235,0.2935,0.0129,0.0011,1.9641,0.2702,0.4993,0.301,0.5368,0.2744,0.5042
36,3.1977,0.2315,0.3386,0.0134,0.001,2.6132,2.4761,0.2352,0.2952,0.0128,0.0011,1.9319,0.2656,0.4898,0.2931,0.5229,0.269,0.4969
37,3.2113,0.2335,0.3369,0.0135,0.0011,2.6264,2.4605,0.2378,0.2933,0.0128,0.001,1.9155,0.2521,0.4842,0.2775,0.516,0.2581,0.4906
38,3.0834,0.2321,0.3354,0.0134,0.0008,2.5018,2.4251,0.2352,0.2862,0.0128,0.0009,1.8901,0.2705,0.4982,0.2956,0.5295,0.2754,0.5042
39,3.0902,0.2329,0.3353,0.0133,0.0009,2.5077,2.3918,0.2357,0.2849,0.0128,0.0009,1.8574,0.2725,0.5002,0.3001,0.5333,0.2745,0.5059
40,3.0918,0.2354,0.3351,0.0134,0.0009,2.5071,2.4249,0.2365,0.2891,0.0128,0.0009,1.8857,0.2704,0.5001,0.2977,0.5312,0.2732,0.5059
41,3.1522,0.2331,0.3354,0.0133,0.001,2.5693,2.3823,0.2334,0.2885,0.0127,0.0009,1.8468,0.2852,0.5028,0.3123,0.5344,0.2872,0.5097
42,2.965,0.2312,0.3279,0.0133,0.0009,2.3917,2.3561,0.2327,0.2829,0.0127,0.0009,1.8269,0.276,0.5117,0.3036,0.5424,0.2789,0.5194
43,3.0417,0.2326,0.332,0.0133,0.0007,2.463,2.3642,0.2352,0.2774,0.0127,0.0008,1.8381,0.2715,0.5036,0.3003,0.5368,0.2786,0.5104
44,3.1108,0.232,0.3342,0.0133,0.0009,2.5304,2.363,0.236,0.283,0.0127,0.0009,1.8304,0.2765,0.5124,0.3068,0.5469,0.2847,0.5208
45,2.8325,0.2328,0.3227,0.0133,0.0009,2.2628,2.3351,0.2349,0.2819,0.0127,0.0011,1.8046,0.2858,0.5226,0.3159,0.5562,0.2867,0.5278
46,2.8463,0.2312,0.3242,0.0132,0.0009,2.2768,2.2797,0.2341,0.2782,0.0126,0.001,1.7539,0.2878,0.5229,0.319,0.5587,0.2898,0.5274
47,2.8425,0.2333,0.3232,0.0132,0.001,2.2718,2.2655,0.2334,0.2795,0.0126,0.0008,1.7392,0.2815,0.5162,0.3098,0.5493,0.2866,0.5215
48,2.8602,0.2334,0.3217,0.0132,0.001,2.2909,2.2854,0.235,0.2754,0.0125,0.0008,1.7617,0.2863,0.5166,0.3192,0.55,0.2915,0.5219
49,2.8686,0.2342,0.3237,0.0133,0.0007,2.2968,2.2517,0.2359,0.275,0.0126,0.0009,1.7273,0.2949,0.5169,0.3238,0.5486,0.3005,0.5222
50,2.7741,0.2352,0.3197,0.0132,0.0009,2.2051,2.2378,0.238,0.2726,0.0126,0.0009,1.7138,0.2775,0.5083,0.3085,0.5403,0.2816,0.5125
51,2.7429,0.2346,0.3188,0.0132,0.0007,2.1756,2.2222,0.2386,0.2759,0.0126,0.0008,1.6944,0.2792,0.5127,0.3079,0.5441,0.2811,0.5177
52,2.6761,0.2336,0.3176,0.0131,0.001,2.1108,2.2082,0.2356,0.2814,0.0125,0.0008,1.678,0.2995,0.5236,0.3297,0.5552,0.3017,0.5281
53,2.6761,0.2356,0.3158,0.0131,0.0009,2.1107,2.1738,0.2369,0.2776,0.0125,0.0008,1.646,0.2868,0.5155,0.3165,0.5462,0.2878,0.5184
54,2.7315,0.2348,0.3168,0.0131,0.0007,2.1661,2.1838,0.2409,0.2717,0.0125,0.0009,1.6578,0.2825,0.5135,0.3117,0.5441,0.2839,0.5191
55,2.7598,0.2335,0.319,0.013,0.0007,2.1937,2.1953,0.2404,0.2689,0.0124,0.0008,1.6728,0.2722,0.5077,0.2988,0.5389,0.2769,0.5104
56,2.693,0.2341,0.3157,0.013,0.0009,2.1293,2.1814,0.2404,0.2646,0.0124,0.0008,1.6631,0.2809,0.5104,0.3108,0.5424,0.2839,0.5132
57,2.6488,0.2354,0.3151,0.013,0.0007,2.0846,2.1758,0.2435,0.2673,0.0124,0.0008,1.6518,0.2791,0.5178,0.3055,0.5483,0.2837,0.5219
58,2.653,0.2365,0.3099,0.0129,0.0008,2.0928,2.1587,0.2448,0.2584,0.0123,0.0008,1.6424,0.2813,0.5166,0.3087,0.5476,0.2857,0.5205
59,2.5746,0.2348,0.3101,0.0129,0.001,2.0157,2.1251,0.2407,0.2614,0.0123,0.0008,1.6099,0.2809,0.518,0.306,0.5483,0.2849,0.5219
