epoch,train_loss,train_loss_cls,train_loss_iou,train_loss_dfl,train_loss_pose_cls,train_loss_pose_reg,val_loss,val_loss_cls,val_loss_iou,val_loss_dfl,val_loss_pose_cls,val_loss_pose_reg,ap,ar,ap_0.50,ap_0.75,ar_0.50,ar_0.75
147,1.7328,0.2484,0.2561,0.012,0.0008,1.2156,1.7181,0.2531,0.2183,0.0113,0.0009,1.2345,0.2924,0.5236,0.3198,0.5479,0.2914,0.5226
148,1.7555,0.2484,0.2564,0.012,0.0006,1.2381,1.7265,0.2543,0.2204,0.0114,0.0009,1.2396,0.2861,0.5192,0.3151,0.5431,0.2826,0.5191
149,1.7237,0.2502,0.257,0.012,0.0008,1.2036,1.723,0.2555,0.2188,0.0113,0.0009,1.2364,0.2867,0.5167,0.3126,0.5399,0.2846,0.5156
150,1.7606,0.2484,0.255,0.012,0.0008,1.2445,1.7099,0.2542,0.2196,0.0113,0.0008,1.2239,0.2969,0.5217,0.3267,0.5451,0.2979,0.5215
151,1.7625,0.248,0.2566,0.012,0.0007,1.2451,1.7537,0.2534,0.2236,0.0113,0.0008,1.2647,0.2956,0.5234,0.3245,0.5479,0.2954,0.5236
152,1.7506,0.2477,0.255,0.012,0.0007,1.2352,1.7112,0.2538,0.2202,0.0113,0.0008,1.2251,0.2932,0.5193,0.3236,0.5441,0.2898,0.5188
153,1.7284,0.2495,0.2531,0.0119,0.0007,1.2131,1.7115,0.2528,0.2203,0.0113,0.0008,1.2264,0.2943,0.5229,0.3239,0.5479,0.2937,0.5222
154,1.7091,0.2472,0.2556,0.012,0.0009,1.1935,1.7314,0.2536,0.2225,0.0113,0.0008,1.2432,0.2937,0.5256,0.3271,0.5503,0.2909,0.5243
155,1.7126,0.2481,0.2538,0.012,0.0007,1.1981,1.7317,0.252,0.2249,0.0113,0.0008,1.2426,0.2915,0.523,0.3215,0.5479,0.2913,0.5222
156,1.7036,0.2493,0.2526,0.0119,0.0006,1.1892,1.7241,0.2524,0.2235,0.0113,0.0009,1.2361,0.2938,0.5194,0.3247,0.5434,0.2897,0.5181
157,1.7243,0.249,0.2546,0.0119,0.0009,1.2078,1.7184,0.2524,0.223,0.0113,0.0008,1.231,0.301,0.5255,0.3327,0.5497,0.2972,0.5243
158,1.6979,0.2497,0.2528,0.012,0.0007,1.1827,1.6816,0.2525,0.2232,0.0113,0.0008,1.1938,0.2974,0.5239,0.3272,0.5479,0.2961,0.5229
159,1.7013,0.2489,0.2545,0.012,0.0007,1.1853,1.6976,0.2523,0.2231,0.0113,0.0008,1.2101,0.2936,0.5267,0.3274,0.5521,0.2912,0.5267
160,1.6881,0.2491,0.2505,0.0119,0.0008,1.1758,1.7174,0.2539,0.2204,0.0113,0.0008,1.231,0.2904,0.5245,0.3251,0.55,0.2884,0.524
161,1.6962,0.2484,0.2532,0.012,0.0007,1.1819,1.7063,0.2532,0.2194,0.0113,0.0009,1.2215,0.2927,0.527,0.3255,0.5528,0.2898,0.5271
162,1.6906,0.2485,0.2506,0.0119,0.0008,1.1788,1.7211,0.2523,0.2197,0.0113,0.0008,1.237,0.2931,0.5259,0.3283,0.5521,0.2912,0.5253
163,1.6874,0.2487,0.2541,0.0119,0.0007,1.1718,1.7158,0.2529,0.2212,0.0113,0.0007,1.2296,0.2939,0.5277,0.3268,0.5528,0.2911,0.5274
164,1.6717,0.2496,0.2511,0.0119,0.0006,1.1585,1.6984,0.2536,0.2201,0.0113,0.0008,1.2126,0.2973,0.5275,0.3298,0.5528,0.2944,0.5264
165,1.6608,0.2499,0.2497,0.0119,0.0007,1.1485,1.693,0.2533,0.2189,0.0113,0.0009,1.2085,0.2981,0.5263,0.3318,0.551,0.2956,0.5247
166,1.6936,0.248,0.252,0.0119,0.0007,1.181,1.7349,0.253,0.222,0.0113,0.0009,1.2477,0.2966,0.5244,0.3258,0.5493,0.2958,0.5233
167,1.6613,0.2486,0.249,0.0119,0.0009,1.1509,1.6982,0.2539,0.22,0.0113,0.0008,1.2121,0.2981,0.5244,0.3264,0.5483,0.2973,0.5243
168,1.6643,0.248,0.2485,0.0119,0.0006,1.1552,1.696,0.2536,0.2193,0.0113,0.0009,1.2109,0.2954,0.5248,0.3249,0.5486,0.2925,0.5247
169,1.6541,0.2494,0.2494,0.0119,0.0008,1.1426,1.7017,0.2546,0.2188,0.0113,0.0008,1.2162,0.2954,0.5257,0.3285,0.5503,0.2929,0.5257
170,1.6446,0.2489,0.2481,0.012,0.0008,1.1348,1.6784,0.2551,0.2171,0.0113,0.0008,1.194,0.2991,0.5274,0.3317,0.5517,0.2962,0.5271
171,1.6524,0.2496,0.2511,0.012,0.0006,1.139,1.6684,0.2556,0.2181,0.0113,0.0009,1.1824,0.2972,0.5267,0.3302,0.551,0.2946,0.5267
172,1.6556,0.2503,0.2494,0.0119,0.0008,1.1432,1.6701,0.2561,0.2187,0.0113,0.0008,1.1832,0.2896,0.5205,0.3199,0.5437,0.2906,0.5201
173,1.6429,0.251,0.2473,0.0119,0.0008,1.1318,1.6787,0.2549,0.2174,0.0113,0.0008,1.1944,0.2905,0.5209,0.3207,0.5455,0.2909,0.5205
174,1.6375,0.2505,0.2473,0.0119,0.0007,1.1272,1.6758,0.2547,0.2172,0.0113,0.0008,1.1917,0.2905,0.5178,0.3235,0.5413,0.2852,0.5174
175,1.6458,0.2503,0.2485,0.0119,0.0007,1.1342,1.678,0.2552,0.2149,0.0113,0.0008,1.1958,0.2944,0.5219,0.325,0.5458,0.2934,0.5215
176,1.6515,0.2509,0.2483,0.0119,0.001,1.1394,1.6881,0.2547,0.2161,0.0113,0.0006,1.2053,0.296,0.5201,0.3273,0.5434,0.2915,0.5194
177,1.6445,0.2516,0.2494,0.012,0.0008,1.1308,1.6981,0.255,0.2169,0.0113,0.0009,1.2139,0.2902,0.518,0.3232,0.542,0.2874,0.517
178,1.6269,0.2504,0.2494,0.012,0.0009,1.1142,1.7091,0.2548,0.2176,0.0113,0.0009,1.2246,0.2914,0.5181,0.3246,0.5424,0.2879,0.517
179,1.6289,0.2506,0.248,0.012,0.0008,1.1175,1.6679,0.2547,0.2177,0.0113,0.0008,1.1834,0.2931,0.5194,0.3247,0.5441,0.2883,0.5177
180,1.6185,0.251,0.2482,0.012,0.0006,1.1068,1.665,0.2545,0.2182,0.0113,0.0009,1.18,0.2922,0.5189,0.3239,0.5431,0.2874,0.5177
181,1.6159,0.2529,0.2476,0.012,0.0008,1.1027,1.6771,0.255,0.2157,0.0113,0.0009,1.1942,0.2948,0.5219,0.3271,0.5462,0.2923,0.5212
182,1.6277,0.2514,0.2478,0.0119,0.0006,1.116,1.6932,0.2553,0.2171,0.0113,0.0008,1.2086,0.2939,0.5227,0.3254,0.5472,0.2909,0.5219
183,1.6272,0.2515,0.2439,0.0119,0.0007,1.1191,1.6638,0.2552,0.2151,0.0113,0.0008,1.1814,0.2945,0.5228,0.3261,0.5469,0.2923,0.5215
184,1.6246,0.2512,0.2473,0.0119,0.0008,1.1134,1.6751,0.256,0.2119,0.0113,0.0008,1.1951,0.292,0.5222,0.3212,0.5458,0.2912,0.5212
185,1.6178,0.2523,0.2454,0.0119,0.0006,1.1075,1.6616,0.2559,0.2136,0.0113,0.0008,1.1801,0.2901,0.5213,0.3206,0.5451,0.29,0.5201
186,1.625,0.2518,0.2483,0.0119,0.0006,1.1124,1.6541,0.2559,0.2159,0.0113,0.0007,1.1703,0.2946,0.5236,0.3245,0.5483,0.2928,0.5222
187,1.6373,0.2527,0.2448,0.0119,0.0008,1.1271,1.6565,0.256,0.2139,0.0113,0.0006,1.1748,0.294,0.5226,0.3235,0.5465,0.293,0.5212
188,1.6227,0.2527,0.2455,0.012,0.0007,1.1119,1.6625,0.2561,0.2154,0.0113,0.0007,1.1791,0.2955,0.5227,0.3272,0.5476,0.293,0.5208
189,1.6193,0.2519,0.2469,0.0119,0.0008,1.1078,1.6462,0.2565,0.2123,0.0113,0.0007,1.1654,0.2973,0.5216,0.3305,0.5465,0.2902,0.5198
190,1.6028,0.2521,0.2442,0.0119,0.0007,1.0939,1.6636,0.2565,0.2109,0.0113,0.0006,1.1843,0.2985,0.5227,0.3297,0.5465,0.296,0.5208
191,1.6033,0.2513,0.2445,0.0119,0.0006,1.0949,1.6649,0.256,0.2116,0.0113,0.0008,1.1852,0.2983,0.5227,0.3288,0.5465,0.2959,0.5212
192,1.6054,0.2523,0.2432,0.0119,0.0008,1.0971,1.6504,0.2564,0.2122,0.0113,0.0007,1.1698,0.3011,0.527,0.3366,0.5521,0.2962,0.5253
193,1.6009,0.252,0.245,0.0119,0.0006,1.0915,1.6604,0.2559,0.2138,0.0113,0.0007,1.1788,0.2993,0.5266,0.3347,0.5517,0.295,0.525
194,1.6,0.2528,0.2446,0.0119,0.0006,1.0901,1.659,0.2567,0.2131,0.0113,0.0008,1.1771,0.3005,0.5266,0.3366,0.5521,0.2959,0.5253
195,1.5982,0.2517,0.2448,0.0119,0.0007,1.0891,1.6528,0.2568,0.2122,0.0113,0.0008,1.1718,0.2998,0.5241,0.331,0.549,0.2963,0.5233
196,1.6087,0.2514,0.2468,0.0119,0.0007,1.0978,1.6692,0.2574,0.2134,0.0113,0.0008,1.1863,0.2994,0.5232,0.3317,0.5486,0.2965,0.5222
197,1.5909,0.2518,0.245,0.0119,0.0008,1.0814,1.6603,0.2573,0.2118,0.0113,0.0008,1.1792,0.2978,0.5232,0.3306,0.549,0.2947,0.5222
198,1.6147,0.251,0.2442,0.0119,0.0007,1.1069,1.651,0.2556,0.2131,0.0113,0.0008,1.1702,0.2987,0.5249,0.3355,0.5503,0.2944,0.524
