epoch,train_loss,train_loss_cls,train_loss_iou,train_loss_dfl,train_loss_pose_cls,train_loss_pose_reg,val_loss,val_loss_cls,val_loss_iou,val_loss_dfl,val_loss_pose_cls,val_loss_pose_reg,ap,ar,ap_0.50,ap_0.75,ar_0.50,ar_0.75
34,2.796,0.2322,0.3286,0.0096,0.0011,2.2245,2.5483,0.2326,0.3144,0.0089,0.0014,1.9911,0.2443,0.4836,0.2818,0.5243,0.2403,0.4858
35,2.7369,0.2328,0.3274,0.0096,0.0009,2.1661,2.4707,0.2279,0.311,0.0089,0.0015,1.9215,0.2762,0.5128,0.3136,0.5535,0.2721,0.5149
36,2.6775,0.2321,0.3218,0.0095,0.0012,2.1129,2.4372,0.2328,0.3094,0.0089,0.0015,1.8845,0.256,0.4944,0.2918,0.5337,0.2527,0.4962
37,2.637,0.2305,0.321,0.0096,0.001,2.0749,2.4263,0.2318,0.3052,0.0089,0.0014,1.8791,0.2595,0.4993,0.2937,0.5361,0.2586,0.5031
38,2.5971,0.2318,0.3169,0.0096,0.0007,2.0381,2.3753,0.2312,0.2967,0.0089,0.0012,1.8373,0.2525,0.4935,0.284,0.5271,0.2506,0.4972
39,2.5729,0.2317,0.3158,0.0095,0.0008,2.0149,2.3606,0.2318,0.2971,0.009,0.0011,1.8216,0.259,0.5007,0.2924,0.5337,0.2577,0.5031
40,2.5473,0.2325,0.3166,0.0096,0.0011,1.9875,2.3385,0.2337,0.2929,0.0089,0.001,1.802,0.2641,0.5042,0.2953,0.5375,0.2613,0.5073
41,2.5096,0.2312,0.3115,0.0095,0.001,1.9564,2.312,0.2314,0.2912,0.0089,0.0011,1.7794,0.2811,0.5193,0.3164,0.5542,0.2807,0.5226
42,2.4722,0.233,0.305,0.0096,0.0009,1.9238,2.2728,0.2362,0.2866,0.0089,0.0011,1.74,0.2562,0.4975,0.2911,0.5316,0.2509,0.4997
43,2.442,0.2321,0.3074,0.0095,0.0014,1.8916,2.2469,0.2362,0.2815,0.0089,0.0012,1.7191,0.2606,0.5029,0.2942,0.5382,0.258,0.5042
44,2.3904,0.2335,0.3049,0.0096,0.0009,1.8416,2.2306,0.2381,0.2829,0.0089,0.0013,1.6994,0.2574,0.4992,0.2919,0.534,0.256,0.5003
